VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
1.15,3.0,0.0,2.0,0.14652,7.6e-13,3.1753e-06,-3.1749e-06
1.2,3.0,0.0,2.0,0.16158,1.29e-12,3.4806e-06,-3.4804e-06
1.25,3.0,0.0,2.0,0.17758,1.022e-11,3.8007e-06,-3.8004e-06
1.3,3.0,0.0,2.0,0.19434,-3.35e-12,4.1311e-06,-4.131e-06
1.35,3.0,0.0,2.0,0.21148,-6.44e-12,4.4649e-06,-4.4639e-06
1.4,3.0,0.0,2.0,0.22964,-6.02e-12,4.8114e-06,-4.8109e-06
1.45,3.0,0.0,2.0,0.24848,-6.55e-12,5.1661e-06,-5.1655e-06
1.5,3.0,0.0,2.0,0.2677,6.94e-12,5.5215e-06,-5.5209e-06
1.55,3.0,0.0,2.0,0.2879,4.98e-12,5.889e-06,-5.8881e-06
1.6,3.0,0.0,2.0,0.3088,-5.01e-12,6.2614e-06,-6.2605e-06
1.65,3.0,0.0,2.0,0.33,4.99e-12,6.6321e-06,-6.6319e-06
1.7,3.0,0.0,2.0,0.35226,-1.35e-12,7.0126e-06,-7.0119e-06
1.75,3.0,0.0,2.0,0.37474,-7.97e-12,7.3899e-06,-7.3891e-06
1.8,3.0,0.0,2.0,0.39828,3.41e-12,7.7746e-06,-7.7741e-06
1.85,3.0,0.0,2.0,0.4225,-2.86e-12,8.1615e-06,-8.1611e-06
1.9,3.0,0.0,2.0,0.44694,-2.7e-13,8.5435e-06,-8.5429e-06
1.95,3.0,0.0,2.0,0.47242,7.39e-12,8.9313e-06,-8.9306e-06
2.0,3.0,0.0,2.0,0.49858,4.4e-13,9.3179e-06,-9.3178e-06
2.05,3.0,0.0,2.0,0.525,-4.11e-12,9.6974e-06,-9.6972e-06
2.1,3.0,0.0,2.0,0.55248,4.7e-13,1.00805e-05,-1.00803e-05
2.15,3.0,0.0,2.0,0.58056,-5.53e-12,1.04608e-05,-1.04605e-05
2.2,3.0,0.0,2.0,0.60888,-1.84e-12,1.08317e-05,-1.08313e-05
2.25,3.0,0.0,2.0,0.63836,7.27e-12,1.12044e-05,-1.12042e-05
2.3,3.0,0.0,2.0,0.66794,9e-13,1.1566e-05,-1.1564e-05
2.35,3.0,0.0,2.0,0.69866,-7.21e-12,1.1929e-05,-1.1926e-05
2.4,3.0,0.0,2.0,0.7301,1.85e-12,1.2282e-05,-1.2281e-05
2.45,3.0,0.0,2.0,0.76166,2.2e-13,1.2627e-05,-1.2624e-05
2.5,3.0,0.0,2.0,0.79444,4.05e-12,1.2966e-05,-1.2965e-05
2.55,3.0,0.0,2.0,0.82794,4.29e-12,1.3298e-05,-1.3296e-05
2.6,3.0,0.0,2.0,0.86152,2.9e-13,1.3616e-05,-1.3613e-05
2.65,3.0,0.0,2.0,0.89632,-7.51e-12,1.3928e-05,-1.3927e-05
2.7,3.0,0.0,2.0,0.93182,-4.32e-12,1.4229e-05,-1.4229e-05
2.75,3.0,0.0,2.0,0.96746,1.25e-12,1.4515e-05,-1.4515e-05
2.8,3.0,0.0,2.0,1.00428,5.17e-12,1.4793e-05,-1.4794e-05
2.85,3.0,0.0,2.0,1.04198,5.34e-12,1.5062e-05,-1.5062e-05
2.9,3.0,0.0,2.0,1.07942,-1.33e-12,1.5309e-05,-1.5311e-05
2.95,3.0,0.0,2.0,1.11834,-1.67e-12,1.5548e-05,-1.5549e-05
3.0,3.0,0.0,2.0,1.15698,-3.71e-12,1.5774e-05,-1.577e-05
